Header:
MFRSR SPECTRAL RESPONSE TEST:

Instrument Data:
Serial_number	Vis469
Instrument_rev	Yes_Mk1
Owner	DOE-ARM

Test_Conditions_Data:
Testing_agency	DOE-ARM_SRMS
Test_System_rev	D
Test_date	5/25/2016
Test_day	146	[Day_of_year]
Test_conductor	Craig Webb
Source_Type	175 watt Xenon_ARC
Monochromator_slit	85	microns
Wavelength_registration_line	361.1652	[nm]
Wavelength_registration_position	431533	[steps]

Comment:	From Japan/Mike Reynolds

Channel	Wavelength	Signal	
900	630	-2.389824E-05	4.870002E-06
900	630.25	-2.515257E-05	3.720067E-06
900	630.5	-3.826936E-05	5.822963E-06
900	630.75	-4.299999E-05	4.216997E-06
900	631	-3.841272E-05	4.674169E-06
900	631.25	-3.823352E-05	3.963775E-06
900	631.5	-3.20335E-05	6.360059E-06
900	631.75	-3.3252E-05	5.44373E-06
900	632	-4.00971E-05	4.190092E-06
900	632.25	-2.647858E-05	5.15932E-06
900	632.5	-4.160229E-05	4.043828E-06
900	632.75	-3.930865E-05	2.913396E-06
900	633	-3.024158E-05	3.893411E-06
900	633.25	-3.12092E-05	4.658955E-06
900	633.5	-2.984735E-05	3.875831E-06
900	633.75	-3.912945E-05	4.612049E-06
900	634	-3.418378E-05	4.025382E-06
900	634.25	-4.575951E-05	5.571914E-06
900	634.5	-3.511556E-05	3.540955E-06
900	634.75	-3.644157E-05	3.564554E-06
900	635	-2.956064E-05	4.128986E-06
900	645	-3.543809E-05	5.544906E-06
900	645.25	-3.515139E-05	4.204709E-06
900	645.5	-3.006237E-05	3.776354E-06
900	645.75	-3.877104E-05	3.265538E-06
900	646	-4.067047E-05	4.449423E-06
900	646.25	-3.454213E-05	4.405635E-06
900	646.5	-3.364618E-05	4.522322E-06
900	646.75	-3.210514E-05	4.307014E-06
